Name,F_Name,Address,NIC,Contact,Age,Gender,dob,City,nationality,email,department ,specialization
Dr.Zahid,Hammad,Al Noor,4.01E+11,365242564,44,Male,15/8/1994,Karachi,Pakistani,ZAhid@gmail.com,,
Dr.Khalid,Khan,Nipa,4.16E+11,3312502212,45,Male,12/1/1993,Karachi,Pakistani,Khalid@gmail.com,,
Dr.Naeem,Umair,Gulshan,4.13E+11,355165297,44,Male,23/6/1996,Lahore,Pakistani,DrNaeem@yahoo.com,,
Dr.Khalid,Saeed,Malir,4.21E+11,331215495,55,Male,14/11/1992,Karachi,Pakistani,Khlidda@hotmail.com,,
Dr.Zain,Arif,North Nazimabad,4.13E+10,322154687,51,Male,15/8/1994,Islamabad,Pakistani,ZainnALi@gmail.com,,
Dr.Zain,Khizar,North Nazimabad,4.15E+11,3155487625,39,Female,12/1/1993,Lahore,Pakistani,Zaindr@hotmail.com,,
Dr.Laila,Abbas,Malir,4.13E+11,312545634,32,Male,23/6/1996,Karachi,Pakistani,Laila@yahhoo.com,,
Dr.Sultana,Ali,Nipa,41536985142,218411841,41,Female,15/8/1994,Karachi,Pakistani,sultanaa123@gmail.com,,
Dr.Warisha,Murtuza,sadar,5.65E+12,2156485451,60,Female,12/1/1993,Karachi,Pakistani,Warisha123@gmail.com,,
Dr.Wajeeha,Amjad,gulberg,4.26E+10,215151185,54,Female,23/6/1996,Lahore,Pakistani,Wajeel@hotmail.com,,
Dr.Yonus,Abdul,gulberg,4.24E+11,3251594519,44,Male,14/11/1992,Karachi,Pakistani,Younusdr@yahoo.com,,
Dr.Wassi,Iqbal,waterpump,4.62E+09,3258151148,41,Female,14/1/1981,Karachi,Pakistani,Wassi123@gmail.com,,
Dr.Shahid,Kashif,landhi,4.52E+11,2225488459,49,Male,15/8/1988,Lahore,Pakistani,Shahidsp@yahoo.com,,
Dr.Shahid,Khizar,landhi,4.52E+11,321187844,39,Male,12/1/1993,Karachi,Pakistani,docShahid@nu.edu.pk,,
Dr.Maaz,Rana,Gulshan,4.25E+11,32525252141,44,Male,23/6/1988,Karachi,Pakistani,Mmaaz@gmail.com,,
Dr.Hassam,Ali,shadmaan,4.56E+12,2561449984,54,Male,14/11/1982,Islamabad,Pakistani,Hasssan@hotmail.com,,
Dr.Jawaad,Murtuza,Malir,4.77E+12,3121584512,41,Male,15/8/1985,Karachi,Pakistani,Jawaad1234@hotmail.com,,
Dr.Umer,Zain,quaidabad,4.59E+12,3225458488,38,Male,12/1/1993,Islamabad,Pakistani,Umer.Qay@gmail.com,,
Dr.Akif,Rehmaan,defence,4.12E+12,2114564564,30,Female,23/6/1986,Karachi,Pakistani,Aqif@yahoo.com,,
Dr.Yonus,Rahim,Al Noor,4.13E+10,3516546856,34,Female,14/11/1971,Karachi,Pakistani,Younos123@yahoo.com,,
Dr.Wassi,Ali,liaqatabad,4.15E+12,330303055,35,Male,26/8/1987,Islamabad,Pakistani,WassiDR@yahoo.com,,
Dr.Khalid,Zain,johar chorangi,4.51E+11,2515165156,56,Male,8/6/1976,Karachi,Pakistani,K.Lid@hotmail.com,,
Dr.Zain,Khan,tariq road,4.35E+13,3561561566,42,Female,11/4/1988,Karachi,Pakistani,Zayndr@gmail.com,,
Dr.Faaz,Khan,clifton,4.21E+11,31351561515,48,Female,3/9/1989,Islamabad,Pakistani,Faaz86@hotmail.com,,
Dr.Uzair,Saad,karimabad,4.56E+12,3165456456,54,Male,7/1/1990,Islamabad,Pakistani,Uzr.dr@yahoo.com,,
Dr.Arsal,Khizar,defence,4.56E+10,313131555,64,Male,22/5/1991,Islamabad,Pakistani,Arsalkhan@gmail.com,,
Dr.uzair,Zaheer,shareefabad,4.13E+13,31315331531,50,Male,2/11/1972,Lahore,Pakistani,U.zair@yahoo.com,,
Dr.Javeria,Osama,ghareebabad,4.14E+11,36497845444,49,Male,18/12/1981,Lahore,Pakistani,DrJavaria@gmail.com,,
Dr.Hasan,Huma,gulshan,4.23E+10,3125679855,43,Female,16/7/1985,Karachi,Pakistani,hasaaan@yhaoo.com,,
Dr.Umair,Mubashir,nipa,4.32E+12,36124589456,38,Male,12/4/1978,Karachi,Pakistani,45148Umair@hotmail.com,,
Dr.Naeem,Rahim,johar chorangi,4.53E+12,3164257899,30,Female,19/3/1990,Karachi,Pakistani,Naeem789@yahoo.com,,
Dr.Areeba,Khan,gulberg,4.53E+11,3169458845,28,Female,27/10/1975,Islamabad,Pakistani,areeba.k@gmail.com,,
